MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
2025-03-06 15:29:26,1.17.0,FR1,35,4.03,,1,Left,Left,1,0,0,0,,,0.37
2025-03-06 15:33:12,1.17.0,FR1,35,4.04,,1,LeftWithPellet,Left,2,0,0,0,,,0.17
2025-03-06 15:33:13,1.17.0,FR1,35,4.03,,1,LeftWithPellet,Left,3,0,0,0,,,0.17
2025-03-06 15:34:14,1.17.0,FR1,35,4.03,,1,RightWithPellet,Left,3,1,0,0,,,0.56
2025-03-06 15:36:28,1.17.0,FR1,35,4.03,3.0,1,Pellet,Left,3,1,1,0,,,
2025-03-06 15:42:05,1.17.0,FR1,35,4.03,,1,Left,Left,4,1,1,0,,,0.01
2025-03-06 15:42:06,1.17.0,FR1,35,4.03,,1,LeftDuringDispense,Left,5,1,1,0,,,0.04
2025-03-06 15:42:10,1.17.0,FR1,35,4.03,2.0,1,Pellet,Left,5,1,2,0,1.45,342.0,
2025-03-06 15:42:47,1.17.0,FR1,35,4.03,,1,Left,Left,6,1,2,0,,,0.62
2025-03-06 15:42:49,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,6,1,3,0,1.26,39.0,
2025-03-06 15:43:17,1.17.0,FR1,35,4.03,,1,Left,Left,7,1,3,0,,,0.18
2025-03-06 15:43:19,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,7,1,4,0,0.94,30.0,
2025-03-06 15:47:29,1.17.0,FR1,35,4.03,,1,Right,Left,7,2,4,0,,,0.1
2025-03-06 16:45:54,1.17.0,FR1,35,4.03,,1,Right,Left,7,3,4,0,,,0.01
2025-03-06 16:53:18,1.17.0,FR1,35,4.03,,1,Right,Left,7,4,4,0,,,0.18
2025-03-06 16:53:24,1.17.0,FR1,35,4.03,,1,Left,Left,8,4,4,0,,,0.2
2025-03-06 16:53:28,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,8,4,5,0,3.22,4209.0,
2025-03-06 16:54:00,1.17.0,FR1,35,4.03,,1,Left,Left,9,4,5,0,,,0.39
2025-03-06 16:54:02,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,9,4,6,0,1.51,34.0,
2025-03-06 16:54:42,1.17.0,FR1,35,4.03,,1,Left,Left,10,4,6,0,,,0.06
2025-03-06 16:54:43,1.17.0,FR1,35,4.03,,1,LeftDuringDispense,Left,11,4,6,0,,,0.05
2025-03-06 16:54:47,1.17.0,FR1,35,4.03,2.0,1,Pellet,Left,11,4,7,0,0.94,45.0,
2025-03-06 16:55:14,1.17.0,FR1,35,4.03,,1,Left,Left,12,4,7,0,,,0.22
2025-03-06 16:55:16,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,12,4,8,0,1.13,29.0,
2025-03-06 16:55:47,1.17.0,FR1,35,4.03,,1,Left,Left,13,4,8,0,,,0.05
2025-03-06 16:55:49,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,13,4,9,0,1.07,33.0,
2025-03-06 16:56:15,1.17.0,FR1,35,4.03,,1,Left,Left,14,4,9,0,,,0.03
2025-03-06 16:56:17,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,14,4,10,0,0.75,28.0,
2025-03-06 16:56:43,1.17.0,FR1,35,4.03,,1,Left,Left,15,4,10,0,,,0.13
2025-03-06 16:56:44,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,15,4,11,0,0.56,27.0,
2025-03-06 16:57:08,1.17.0,FR1,35,4.03,,1,Left,Left,16,4,11,0,,,0.02
2025-03-06 16:57:10,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,16,4,12,0,1.13,26.0,
2025-03-06 16:57:39,1.17.0,FR1,35,4.03,,1,Left,Left,17,4,12,0,,,0.18
2025-03-06 16:57:39,1.17.0,FR1,35,4.03,,1,LeftDuringDispense,Left,18,4,12,0,,,0.04
2025-03-06 16:57:43,1.17.0,FR1,35,4.03,2.0,1,Pellet,Left,18,4,13,0,1.07,33.0,
2025-03-06 17:00:11,1.17.0,FR1,35,4.03,,1,Left,Left,19,4,13,0,,,0.16
2025-03-06 17:01:01,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,19,4,14,0,49.68,198.0,
2025-03-06 17:01:32,1.17.0,FR1,35,4.03,,1,Left,Left,20,4,14,0,,,0.29
2025-03-06 17:01:34,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,20,4,15,0,1.13,33.0,
2025-03-06 17:58:55,1.17.0,FR1,35,4.03,,1,Left,Left,21,4,15,0,,,0.16
2025-03-06 17:58:59,1.17.0,FR1,35,4.03,1.0,1,Pellet,Left,21,4,16,0,3.22,3445.0,
