MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
8/7/2025 13:25:05,1.17.0,FR1,68,4.04,nan,1,Left,Left,1,0,0,0,nan,nan,0.47
8/7/2025 13:25:59,1.17.0,FR1,68,4.03,nan,1,RightWithPellet,Left,1,1,0,0,nan,nan,0.12
8/7/2025 13:26:35,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.02
8/7/2025 13:26:38,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.08
8/7/2025 13:26:45,1.17.0,FR1,68,4.03,nan,1,RightWithPellet,Left,3,2,0,0,nan,nan,0.62
8/7/2025 13:32:11,1.17.0,FR1,68,4.04,2,1,Pellet,Left,3,2,1,0,Timed_out,nan,nan
8/7/2025 15:17:33,1.17.0,FR1,68,4.03,nan,1,Left,Left,4,2,1,0,nan,nan,0.11
8/7/2025 15:17:35,1.17.0,FR1,68,4.03,1,1,Pellet,Left,4,2,2,0,1.10,6324,nan
8/7/2025 15:27:21,1.17.0,FR1,68,4.03,nan,1,Left,Left,5,2,2,0,nan,nan,1.22
8/7/2025 15:27:22,1.17.0,FR1,68,4.03,1,1,Pellet,Left,5,2,3,0,0.66,587,nan
8/7/2025 15:27:45,1.17.0,FR1,68,4.03,nan,1,Left,Left,6,2,3,0,nan,nan,0.78
8/7/2025 15:27:47,1.17.0,FR1,68,4.03,1,1,Pellet,Left,6,2,4,0,1.42,25,nan
8/7/2025 15:28:07,1.17.0,FR1,68,4.03,nan,1,Left,Left,7,2,4,0,nan,nan,0.27
8/7/2025 15:28:12,1.17.0,FR1,68,4.03,3,1,Pellet,Left,7,2,5,0,0.66,25,nan
8/7/2025 15:28:26,1.17.0,FR1,68,4.03,nan,1,Left,Left,8,2,5,0,nan,nan,0.25
8/7/2025 15:28:28,1.17.0,FR1,68,4.03,2,1,Pellet,Left,8,2,6,0,0.66,16,nan
8/7/2025 15:28:44,1.17.0,FR1,68,4.03,nan,1,Left,Left,9,2,6,0,nan,nan,0.32
8/7/2025 15:28:46,1.17.0,FR1,68,4.03,1,1,Pellet,Left,9,2,7,0,0.79,18,nan
8/7/2025 15:29:02,1.17.0,FR1,68,4.03,nan,1,Left,Left,10,2,7,0,nan,nan,0.12
8/7/2025 15:29:04,1.17.0,FR1,68,4.03,1,1,Pellet,Left,10,2,8,0,0.66,18,nan
8/7/2025 15:29:19,1.17.0,FR1,68,4.04,nan,1,Left,Left,11,2,8,0,nan,nan,0.35
8/7/2025 15:29:21,1.17.0,FR1,68,4.04,1,1,Pellet,Left,11,2,9,0,0.79,17,nan
8/7/2025 15:30:37,1.17.0,FR1,68,4.03,nan,1,Left,Left,12,2,9,0,nan,nan,0.28
8/7/2025 15:30:46,1.17.0,FR1,68,4.03,1,1,Pellet,Left,12,2,10,0,8.07,85,nan
8/7/2025 16:51:11,1.17.0,FR1,68,4.03,nan,1,Left,Left,13,2,10,0,nan,nan,0.22
8/7/2025 16:51:32,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,14,2,10,0,nan,nan,0.07
8/7/2025 16:51:34,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,15,2,10,0,nan,nan,0.22
8/7/2025 16:51:38,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,16,2,10,0,nan,nan,0.28
8/7/2025 16:51:40,1.17.0,FR1,68,4.03,1,1,Pellet,Left,16,2,11,0,28.57,4854,nan
8/7/2025 16:52:01,1.17.0,FR1,68,4.03,nan,1,Left,Left,17,2,11,0,nan,nan,0.22
8/7/2025 16:52:01,1.17.0,FR1,68,4.03,nan,1,LeftDuringDispense,Left,18,2,11,0,nan,nan,0.11
8/7/2025 16:52:05,1.17.0,FR1,68,4.03,2,1,Pellet,Left,18,2,12,0,1.29,25,nan
8/7/2025 16:52:26,1.17.0,FR1,68,4.03,nan,1,Left,Left,19,2,12,0,nan,nan,0.05
8/7/2025 16:52:27,1.17.0,FR1,68,4.03,1,1,Pellet,Left,19,2,13,0,0.66,22,nan
8/7/2025 16:52:40,1.17.0,FR1,68,4.03,nan,1,Left,Left,20,2,13,0,nan,nan,0.63
8/7/2025 16:52:41,1.17.0,FR1,68,4.03,1,1,Pellet,Left,20,2,14,0,0.66,14,nan
8/7/2025 16:52:53,1.17.0,FR1,68,4.03,nan,1,Left,Left,21,2,14,0,nan,nan,0.21
8/7/2025 16:52:55,1.17.0,FR1,68,4.04,1,1,Pellet,Left,21,2,15,0,1.48,14,nan
8/7/2025 16:53:15,1.17.0,FR1,68,4.03,nan,1,Left,Left,22,2,15,0,nan,nan,0.03
8/7/2025 16:53:16,1.17.0,FR1,68,4.03,1,1,Pellet,Left,22,2,16,0,0.66,21,nan
8/7/2025 16:53:32,1.17.0,FR1,68,4.03,nan,1,Left,Left,23,2,16,0,nan,nan,0.29
8/7/2025 16:53:33,1.17.0,FR1,68,4.03,1,1,Pellet,Left,23,2,17,0,0.72,17,nan
8/7/2025 16:53:52,1.17.0,FR1,68,4.03,nan,1,Left,Left,24,2,17,0,nan,nan,0.06
8/7/2025 16:53:53,1.17.0,FR1,68,4.03,1,1,Pellet,Left,24,2,18,0,0.66,20,nan
8/7/2025 16:54:09,1.17.0,FR1,68,4.03,nan,1,Left,Left,25,2,18,0,nan,nan,0.19
8/7/2025 16:54:12,1.17.0,FR1,68,4.03,1,1,Pellet,Left,25,2,19,0,2.11,19,nan
8/7/2025 17:04:08,1.17.0,FR1,68,4.03,nan,1,Left,Left,26,2,19,0,nan,nan,0.04
8/7/2025 17:04:10,1.17.0,FR1,68,4.03,nan,1,LeftWithPellet,Left,27,2,19,0,nan,nan,0.03
8/7/2025 17:30:00,1.17.0,FR1,68,4.03,1,1,Pellet,Left,27,2,20,0,Timed_out,2148,nan
8/7/2025 17:30:16,1.17.0,FR1,68,4.03,nan,1,Left,Left,28,2,20,0,nan,nan,0.03
8/7/2025 17:30:17,1.17.0,FR1,68,4.03,1,1,Pellet,Left,28,2,21,0,0.72,17,nan
8/7/2025 17:30:34,1.17.0,FR1,68,4.03,nan,1,Left,Left,29,2,21,0,nan,nan,0.38
8/7/2025 17:30:34,1.17.0,FR1,68,4.03,nan,1,LeftDuringDispense,Left,30,2,21,0,nan,nan,0.03
8/7/2025 17:30:38,1.17.0,FR1,68,4.03,2,1,Pellet,Left,30,2,22,0,0.91,21,nan
8/7/2025 17:30:53,1.17.0,FR1,68,4.03,nan,1,Left,Left,31,2,22,0,nan,nan,0.15
8/7/2025 17:30:53,1.17.0,FR1,68,4.03,nan,1,LeftDuringDispense,Left,32,2,22,0,nan,nan,0.03
8/7/2025 17:30:58,1.17.0,FR1,68,4.03,2,1,Pellet,Left,32,2,23,0,1.67,20,nan
8/7/2025 17:31:11,1.17.0,FR1,68,4.03,nan,1,Left,Left,33,2,23,0,nan,nan,0.09
8/7/2025 17:31:12,1.17.0,FR1,68,4.03,1,1,Pellet,Left,33,2,24,0,0.79,14,nan
8/7/2025 17:31:28,1.17.0,FR1,68,4.03,nan,1,Left,Left,34,2,24,0,nan,nan,0.09
8/7/2025 17:31:30,1.17.0,FR1,68,4.03,2,1,Pellet,Left,34,2,25,0,1.54,18,nan
8/7/2025 17:48:16,1.17.0,FR1,68,4.03,nan,1,Left,Left,35,2,25,0,nan,nan,0.05
8/7/2025 17:52:03,1.17.0,FR1,68,4.03,1,1,Pellet,Left,35,2,26,0,Timed_out,1233,nan
8/7/2025 17:52:59,1.17.0,FR1,68,4.03,nan,1,Left,Left,36,2,26,0,nan,nan,0.50
8/7/2025 17:53:01,1.17.0,FR1,68,4.03,1,1,Pellet,Left,36,2,27,0,1.67,58,nan
8/7/2025 18:16:16,1.17.0,FR1,68,4.03,nan,1,Left,Left,37,2,27,0,nan,nan,0.09
8/7/2025 18:16:18,1.17.0,FR1,68,4.03,1,1,Pellet,Left,37,2,28,0,0.72,1397,nan
8/7/2025 18:16:32,1.17.0,FR1,68,4.03,nan,1,Left,Left,38,2,28,0,nan,nan,0.02
8/7/2025 18:16:34,1.17.0,FR1,68,4.03,1,1,Pellet,Left,38,2,29,0,0.79,16,nan
8/7/2025 18:16:49,1.17.0,FR1,68,4.03,nan,1,Left,Left,39,2,29,0,nan,nan,0.22
8/7/2025 18:16:50,1.17.0,FR1,68,4.03,1,1,Pellet,Left,39,2,30,0,0.66,16,nan
8/7/2025 18:17:07,1.17.0,FR1,68,4.03,nan,1,Left,Left,40,2,30,0,nan,nan,0.08
