MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/24/2025 15:16:46,1.17.0,FR1,72,3.82,nan,1,Left,Left,1,0,0,0,nan,nan,0.08
7/24/2025 15:16:52,1.17.0,FR1,72,3.82,2,1,Pellet,Left,1,0,1,0,3.63,nan,nan
7/24/2025 15:17:10,1.17.0,FR1,72,3.82,nan,1,Right,Left,1,1,1,0,nan,nan,0.13
7/24/2025 15:17:11,1.17.0,FR1,72,3.82,nan,1,Right,Left,1,2,1,0,nan,nan,0.21
7/24/2025 15:17:55,1.17.0,FR1,72,3.82,nan,1,Left,Left,2,2,1,0,nan,nan,0.16
7/24/2025 15:17:56,1.17.0,FR1,72,3.82,nan,1,LeftDuringDispense,Left,3,2,1,0,nan,nan,0.03
7/24/2025 15:17:57,1.17.0,FR1,72,3.82,1,1,Pellet,Left,3,2,2,0,0.66,65,nan
7/24/2025 15:18:11,1.17.0,FR1,72,3.82,nan,1,Left,Left,4,2,2,0,nan,nan,0.13
7/24/2025 15:18:13,1.17.0,FR1,72,3.82,2,1,Pellet,Left,4,2,3,0,0.66,16,nan
7/24/2025 15:18:29,1.17.0,FR1,72,3.83,nan,1,Left,Left,5,2,3,0,nan,nan,0.44
7/24/2025 15:18:30,1.17.0,FR1,72,3.82,1,1,Pellet,Left,5,2,4,0,0.66,17,nan
7/24/2025 15:18:49,1.17.0,FR1,72,3.82,nan,1,Left,Left,6,2,4,0,nan,nan,0.07
7/24/2025 15:18:50,1.17.0,FR1,72,3.82,1,1,Pellet,Left,6,2,5,0,0.66,20,nan
7/24/2025 15:19:12,1.17.0,FR1,72,3.82,nan,1,Left,Left,7,2,5,0,nan,nan,0.28
7/24/2025 15:19:14,1.17.0,FR1,72,3.82,1,1,Pellet,Left,7,2,6,0,0.66,24,nan
7/24/2025 15:19:37,1.17.0,FR1,72,3.82,nan,1,Left,Left,8,2,6,0,nan,nan,0.09
7/24/2025 15:19:38,1.17.0,FR1,72,3.82,1,1,Pellet,Left,8,2,7,0,0.66,24,nan
7/24/2025 15:20:04,1.17.0,FR1,72,3.82,nan,1,Left,Left,9,2,7,0,nan,nan,0.09
7/24/2025 15:20:06,1.17.0,FR1,72,3.82,1,1,Pellet,Left,9,2,8,0,0.66,28,nan
7/24/2025 15:20:22,1.17.0,FR1,72,3.82,nan,1,Left,Left,10,2,8,0,nan,nan,0.37
7/24/2025 15:20:22,1.17.0,FR1,72,3.82,nan,1,LeftDuringDispense,Left,11,2,8,0,nan,nan,0.03
7/24/2025 15:20:26,1.17.0,FR1,72,3.82,2,1,Pellet,Left,11,2,9,0,0.66,20,nan
7/24/2025 15:20:42,1.17.0,FR1,72,3.82,nan,1,Left,Left,12,2,9,0,nan,nan,0.20
7/24/2025 15:20:43,1.17.0,FR1,72,3.82,1,1,Pellet,Left,12,2,10,0,0.66,17,nan
7/24/2025 15:21:03,1.17.0,FR1,72,3.82,nan,1,Left,Left,13,2,10,0,nan,nan,0.02
7/24/2025 15:21:05,1.17.0,FR1,72,3.82,2,1,Pellet,Left,13,2,11,0,0.72,22,nan
7/24/2025 15:21:25,1.17.0,FR1,72,3.82,nan,1,Left,Left,14,2,11,0,nan,nan,0.13
7/24/2025 15:21:29,1.17.0,FR1,72,3.82,3,1,Pellet,Left,14,2,12,0,0.66,24,nan
7/24/2025 15:27:16,1.17.0,FR1,72,3.82,nan,1,Left,Left,15,2,12,0,nan,nan,0.18
7/24/2025 15:27:18,1.17.0,FR1,72,3.82,1,1,Pellet,Left,15,2,13,0,1.86,349,nan
7/24/2025 15:27:52,1.17.0,FR1,72,3.82,nan,1,Left,Left,16,2,13,0,nan,nan,0.10
7/24/2025 15:27:53,1.17.0,FR1,72,3.82,1,1,Pellet,Left,16,2,14,0,0.66,35,nan
7/24/2025 15:36:56,1.17.0,FR1,72,3.82,nan,1,Left,Left,17,2,14,0,nan,nan,0.12
7/24/2025 15:36:58,1.17.0,FR1,72,3.82,1,1,Pellet,Left,17,2,15,0,1.86,545,nan
7/24/2025 15:46:19,1.17.0,FR1,72,3.82,nan,1,Left,Left,18,2,15,0,nan,nan,0.13
7/24/2025 15:46:20,1.17.0,FR1,72,3.82,1,1,Pellet,Left,18,2,16,0,0.66,562,nan
7/24/2025 15:46:35,1.17.0,FR1,72,3.82,nan,1,Left,Left,19,2,16,0,nan,nan,0.02
7/24/2025 15:46:36,1.17.0,FR1,72,3.82,1,1,Pellet,Left,19,2,17,0,0.66,16,nan
7/24/2025 15:46:55,1.17.0,FR1,72,3.82,nan,1,Left,Left,20,2,17,0,nan,nan,0.07
7/24/2025 15:46:57,1.17.0,FR1,72,3.82,1,1,Pellet,Left,20,2,18,0,0.66,21,nan
7/24/2025 15:47:16,1.17.0,FR1,72,3.82,nan,1,Left,Left,21,2,18,0,nan,nan,0.06
7/24/2025 15:47:17,1.17.0,FR1,72,3.82,nan,1,LeftDuringDispense,Left,22,2,18,0,nan,nan,0.02
7/24/2025 15:47:19,1.17.0,FR1,72,3.82,nan,1,LeftDuringDispense,Left,23,2,18,0,nan,nan,0.09
7/24/2025 15:47:20,1.17.0,FR1,72,3.82,2,1,Pellet,Left,23,2,19,0,1.04,23,nan
7/24/2025 16:25:46,1.17.0,FR1,72,3.82,nan,1,Left,Left,24,2,19,0,nan,nan,0.45
7/24/2025 16:25:50,1.17.0,FR1,72,3.82,2,1,Pellet,Left,24,2,20,0,0.66,2310,nan
7/24/2025 16:34:24,1.17.0,FR1,72,3.82,nan,1,Left,Left,25,2,20,0,nan,nan,0.10
7/24/2025 16:34:26,1.17.0,FR1,72,3.82,1,1,Pellet,Left,25,2,21,0,0.66,516,nan
7/24/2025 16:34:39,1.17.0,FR1,72,3.82,nan,1,Left,Left,26,2,21,0,nan,nan,0.53
7/24/2025 16:34:41,1.17.0,FR1,72,3.82,1,1,Pellet,Left,26,2,22,0,0.66,15,nan
7/24/2025 16:34:56,1.17.0,FR1,72,3.82,nan,1,Left,Left,27,2,22,0,nan,nan,0.06
7/24/2025 16:34:56,1.17.0,FR1,72,3.82,nan,1,LeftDuringDispense,Left,28,2,22,0,nan,nan,0.03
7/24/2025 16:35:00,1.17.0,FR1,72,3.82,3,1,Pellet,Left,28,2,23,0,0.66,19,nan
7/24/2025 16:35:17,1.17.0,FR1,72,3.82,nan,1,Left,Left,29,2,23,0,nan,nan,0.34
7/24/2025 16:35:18,1.17.0,FR1,72,3.82,1,1,Pellet,Left,29,2,24,0,0.66,18,nan
7/24/2025 16:35:46,1.17.0,FR1,72,3.82,nan,1,Right,Left,29,3,24,0,nan,nan,0.33
7/24/2025 16:35:48,1.17.0,FR1,72,3.82,nan,1,Left,Left,30,3,24,0,nan,nan,0.26
7/24/2025 16:35:50,1.17.0,FR1,72,3.82,1,1,Pellet,Left,30,3,25,0,0.66,32,nan
7/24/2025 16:36:05,1.17.0,FR1,72,3.82,nan,1,Left,Left,31,3,25,0,nan,nan,0.57
7/24/2025 16:36:06,1.17.0,FR1,72,3.82,2,1,Pellet,Left,31,3,26,0,0.66,16,nan
7/24/2025 16:48:23,1.17.0,FR1,72,3.82,nan,1,Left,Left,32,3,26,0,nan,nan,0.07
7/24/2025 16:48:24,1.17.0,FR1,72,3.82,1,1,Pellet,Left,32,3,27,0,0.85,738,nan
7/24/2025 16:48:43,1.17.0,FR1,72,3.82,nan,1,Left,Left,33,3,27,0,nan,nan,0.45
7/24/2025 16:48:44,1.17.0,FR1,72,3.82,1,1,Pellet,Left,33,3,28,0,0.72,20,nan
7/24/2025 16:49:06,1.17.0,FR1,72,3.82,nan,1,Left,Left,34,3,28,0,nan,nan,0.44
7/24/2025 16:49:08,1.17.0,FR1,72,3.82,1,1,Pellet,Left,34,3,29,0,0.66,24,nan
7/24/2025 16:49:24,1.17.0,FR1,72,3.82,nan,1,Left,Left,35,3,29,0,nan,nan,0.13
7/24/2025 16:49:25,1.17.0,FR1,72,3.82,1,1,Pellet,Left,35,3,30,0,0.66,17,nan
7/24/2025 16:49:39,1.17.0,FR1,72,3.82,nan,1,Left,Left,36,3,30,0,nan,nan,0.05
7/24/2025 16:49:40,1.17.0,FR1,72,3.81,1,1,Pellet,Left,36,3,31,0,0.66,15,nan
7/24/2025 17:05:58,1.17.0,FR1,72,3.82,nan,1,Left,Left,37,3,31,0,nan,nan,0.09
7/24/2025 17:05:59,1.17.0,FR1,72,3.82,1,1,Pellet,Left,37,3,32,0,0.72,979,nan
7/24/2025 17:06:20,1.17.0,FR1,72,3.82,nan,1,Left,Left,38,3,32,0,nan,nan,0.08
7/24/2025 17:06:22,1.17.0,FR1,72,3.82,1,1,Pellet,Left,38,3,33,0,0.66,23,nan
7/24/2025 17:06:41,1.17.0,FR1,72,3.82,nan,1,Left,Left,39,3,33,0,nan,nan,0.45
7/24/2025 17:06:43,1.17.0,FR1,72,3.82,1,1,Pellet,Left,39,3,34,0,0.98,21,nan
7/24/2025 17:07:07,1.17.0,FR1,72,3.82,nan,1,Left,Left,40,3,34,0,nan,nan,0.31
7/24/2025 17:07:08,1.17.0,FR1,72,3.82,1,1,Pellet,Left,40,3,35,0,0.79,25,nan
7/24/2025 17:07:28,1.17.0,FR1,72,3.82,nan,1,Left,Left,41,3,35,0,nan,nan,0.25
7/24/2025 17:07:29,1.17.0,FR1,72,3.82,2,1,Pellet,Left,41,3,36,0,0.66,21,nan
7/24/2025 17:18:16,1.17.0,FR1,72,3.82,nan,1,Left,Left,42,3,36,0,nan,nan,0.05
7/24/2025 17:18:18,1.17.0,FR1,72,3.82,1,1,Pellet,Left,42,3,37,0,0.66,649,nan
7/24/2025 17:18:36,1.17.0,FR1,72,3.82,nan,1,Left,Left,43,3,37,0,nan,nan,0.04
